,Unnamed: 0,id,idContext,info,disease,type,context,question,result,A,B,C,D,evidence_A_other,evidence_B_other,evidence_C_other,evidence_D_other
77,867,400346.0,533.0,Tổng_quan .,Trĩ .,Multi-Choice.,"Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Bệnh trĩ có_thể do một_số nguyên_nhân , tuy_nhiên phần_lớn chưa được xác_định chính_xác nguyên_nhân của bệnh trĩ . Bệnh trĩ được chia làm 2 loại : Nếu búi trĩ ở bên trong trực_tràng thì được gọi là bệnh trĩ nội . Nếu búi trĩ nằm ở lớp dưới da xung_quanh hậu_môn thì được gọi là bệnh trĩ ngoại . Bệnh trĩ là bệnh rất phổ_biến , có đến ¾ người_lớn có triệu_chứng bệnh trĩ theo thời_gian và có_thể bệnh không gây ra triệu_chứng nhưng đôi_khi gây ngứa , khó_chịu và chảy_máu . Rất may_mắn là để điều_trị bệnh trĩ có rất nhiều cách hiệu_quả nhằm giúp người_bệnh giảm triệu_chứng bằng các biện_pháp điều_trị có_thể thực_hiện được tại nhà và thay_đổi lối sống . Vậy bệnh trĩ và nguyên_nhân bệnh trĩ là gì sẽ được đề_cập chi_tiết ở bài viết bên dưới .","Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết , được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Hiện_nay , bệnh trĩ chia làm mấy loại , cụ_thể là loại nào ?","C , D.",Trĩ mãn_tính .,Trĩ cấp_tính .,Trĩ ngoại .,Trĩ nội .,,,,
78,868,400345.0,533.0,Tổng_quan .,Trĩ .,Single-Choice.,"Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Bệnh trĩ có_thể do một_số nguyên_nhân , tuy_nhiên phần_lớn chưa được xác_định chính_xác nguyên_nhân của bệnh trĩ . Bệnh trĩ được chia làm 2 loại : Nếu búi trĩ ở bên trong trực_tràng thì được gọi là bệnh trĩ nội . Nếu búi trĩ nằm ở lớp dưới da xung_quanh hậu_môn thì được gọi là bệnh trĩ ngoại . Bệnh trĩ là bệnh rất phổ_biến , có đến ¾ người_lớn có triệu_chứng bệnh trĩ theo thời_gian và có_thể bệnh không gây ra triệu_chứng nhưng đôi_khi gây ngứa , khó_chịu và chảy_máu . Rất may_mắn là để điều_trị bệnh trĩ có rất nhiều cách hiệu_quả nhằm giúp người_bệnh giảm triệu_chứng bằng các biện_pháp điều_trị có_thể thực_hiện được tại nhà và thay_đổi lối sống . Vậy bệnh trĩ và nguyên_nhân bệnh trĩ là gì sẽ được đề_cập chi_tiết ở bài viết bên dưới .","Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết , được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Tỉ_lệ có triệu_chứng bệnh trĩ ở người_lớn là bao_nhiêu ?",C.,1/4 người_lớn có triệu_chứng bệnh trĩ theo thời_gian .,2/4 người_lớn có triệu_chứng bệnh trĩ theo thời_gian .,3/4 người_lớn có triệu_chứng bệnh trĩ theo thời_gian .,1/2 người_lớn có triệu_chứng bệnh trĩ theo thời_gian .,,,,
79,870,400347.0,533.0,Tổng_quan .,Trĩ .,Multi-Choice.,"Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Bệnh trĩ có_thể do một_số nguyên_nhân , tuy_nhiên phần_lớn chưa được xác_định chính_xác nguyên_nhân của bệnh trĩ . Bệnh trĩ được chia làm 2 loại : Nếu búi trĩ ở bên trong trực_tràng thì được gọi là bệnh trĩ nội . Nếu búi trĩ nằm ở lớp dưới da xung_quanh hậu_môn thì được gọi là bệnh trĩ ngoại . Bệnh trĩ là bệnh rất phổ_biến , có đến ¾ người_lớn có triệu_chứng bệnh trĩ theo thời_gian và có_thể bệnh không gây ra triệu_chứng nhưng đôi_khi gây ngứa , khó_chịu và chảy_máu . Rất may_mắn là để điều_trị bệnh trĩ có rất nhiều cách hiệu_quả nhằm giúp người_bệnh giảm triệu_chứng bằng các biện_pháp điều_trị có_thể thực_hiện được tại nhà và thay_đổi lối sống . Vậy bệnh trĩ và nguyên_nhân bệnh trĩ là gì sẽ được đề_cập chi_tiết ở bài viết bên dưới .","Bệnh trĩ không_chỉ đơn_thuần là bệnh của tĩnh_mạch . Đây là các bệnh của 1 hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết , được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Chị Mai được chẩn_đoán mắc bệnh trĩ ngoại , vậy trĩ ngoại là gì , được mô_tả như_thế_nào ?","C , D.",Búi trĩ được bao_phủ bởi lớp biểu mô chuyển_tiếp .,Búi trĩ được bao_phủ bởi niêm_mạc .,Búi trĩ được phủ bởi lớp biểu mô vảy ( squamous epithelium ) .,Nằm bên dưới lớp da bao quanh hậu_môn .,,,,
80,872,400206.0,533.0,Tổng_quan .,Trĩ .,Multi-Choice.,"Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Bệnh trĩ có_thể do một_số nguyên_nhân , tuy_nhiên phần_lớn chưa được xác_định chính_xác nguyên_nhân của bệnh trĩ . Bệnh trĩ được chia làm 2 loại : Nếu búi trĩ ở bên trong trực_tràng thì được gọi là bệnh trĩ nội . Nếu búi trĩ nằm ở lớp dưới da xung_quanh hậu_môn thì được gọi là bệnh trĩ ngoại . Bệnh trĩ là bệnh rất phổ_biến , có đến ¾ người_lớn có triệu_chứng bệnh trĩ theo thời_gian và có_thể bệnh không gây ra triệu_chứng nhưng đôi_khi gây ngứa , khó_chịu và chảy_máu . Rất may_mắn là để điều_trị bệnh trĩ có rất nhiều cách hiệu_quả nhằm giúp người_bệnh giảm triệu_chứng bằng các biện_pháp điều_trị có_thể thực_hiện được tại nhà và thay_đổi lối sống . Vậy bệnh trĩ và nguyên_nhân bệnh trĩ là gì sẽ được đề_cập chi_tiết ở bài viết bên dưới .","Chị_Bích năm nay 35 tuổi , chị làm trong môi_trường văn_phòng nên thường_xuyên phải ngồi trong nhiều giờ . Chị có tìm_hiểu trên mạng và được biết mình có nguy_cơ bị mắc bệnh trĩ ? Vậy bệnh trĩ gồm có những loại nào và biểu_hiện của bệnh như_thế_nào ?","A , C.","Trĩ ngoại : búi trĩ nằm ở lớp dưới da , xung_quanh hậu_môn .","Trĩ ngoại : búi trĩ nằm ở lớp trên da , xung_quanh hậu_môn .",Trĩ nội : búi trĩ ở bên trong trực_tràng .,Trĩ nội : búi trĩ ở bên ngoài trực_tràng .,,,,
81,874,400205.0,533.0,Tổng_quan .,Trĩ .,Multi-Choice.,"Bệnh trĩ ( Hemorrhoids ) là các bệnh của hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Bệnh trĩ có_thể do một_số nguyên_nhân , tuy_nhiên phần_lớn chưa được xác_định chính_xác nguyên_nhân của bệnh trĩ . Bệnh trĩ được chia làm 2 loại : Nếu búi trĩ ở bên trong trực_tràng thì được gọi là bệnh trĩ nội . Nếu búi trĩ nằm ở lớp dưới da xung_quanh hậu_môn thì được gọi là bệnh trĩ ngoại . Bệnh trĩ là bệnh rất phổ_biến , có đến ¾ người_lớn có triệu_chứng bệnh trĩ theo thời_gian và có_thể bệnh không gây ra triệu_chứng nhưng đôi_khi gây ngứa , khó_chịu và chảy_máu . Rất may_mắn là để điều_trị bệnh trĩ có rất nhiều cách hiệu_quả nhằm giúp người_bệnh giảm triệu_chứng bằng các biện_pháp điều_trị có_thể thực_hiện được tại nhà và thay_đổi lối sống . Vậy bệnh trĩ và nguyên_nhân bệnh trĩ là gì sẽ được đề_cập chi_tiết ở bài viết bên dưới .","Chị_Bích , 45 tuổi , được biết hội hậu_môn trực_tràng học Việt_Nam thống_kê bệnh trĩ chiếm tới 35% - 50% các bệnh thuộc về đại trực_tràng . Bệnh trĩ thường gặp ở người làm_việc văn_phòng , ít tập_thể_dục , chủ_yếu sau 30 tuổi . Nhiều người đi khám trễ vì xấu_hổ khiến bệnh biến_chứng nặng . Vậy triệu_chứng của bệnh trĩ là gì ?","A , B , C.",Máu xuất_hiện trên giấy_vệ_sinh sau khi đi toilet .,Đau và khó_chịu khi đi vệ_sinh .,Ngứa hoặc kích_thích ở vùng hậu_môn .,Bị tiêu_chảy nhẹ .,,,,
82,875,400213.0,536.0,Đường lây_truyền .,Trĩ .,Single-Choice.,Bệnh trĩ không lây từ người_bệnh sang người khoẻ_mạnh .,"Bệnh_nhân Hùng , một nam_giới 50 tuổi , đến bác_sĩ với triệu_chứng của việc thấy máu trong phân và cảm_giác đau khi đi_đại_tiện . Anh ta muốn biết liệu có_thể lây_truyền bệnh trĩ qua các hoạt_động hàng ngày hay không . Bệnh trĩ có_thể lây_truyền qua việc nào sau đây ?",D.,Tiếp_xúc da với da .,Uống nước từ chung một chai .,Sử_dụng cùng một đồ_vật cá_nhân .,Không_thể lây_truyền bệnh trĩ qua các hoạt_động hàng ngày .,,,,
83,882,400224.0,540.0,Các biện_pháp điều_trị .,Trĩ .,Multi-Choice.,"Bệnh trĩ và các phương_pháp điều_trị . Chữa bệnh trĩ như_thế_nào cho hiệu_quả ? 8 . 1 . Điều_trị tại nhà : Ăn thực_phẩm nhiều chất xơ . Ăn nhiều trái_cây , rau và ngũ_cốc . Làm như_vậy để làm mềm phân và tăng số_lượng , điều này sẽ giúp bạn tránh được người phải rặn nhiều có_thể làm trầm_trọng thêm các triệu_chứng bệnh trĩ hiện có . Sử_dụng phương_pháp điều_trị tại_chỗ . Bôi kem hoặc thuốc bôi trĩ không kê đơn có chứa hydrocortison , hoặc sử_dụng miếng lót có chứa witch haze hoặc chất gây_tê . Ngâm thường_xuyên trong bồn nước ấm hoặc tắm ngồi ( sitz bath ) . Ngâm vùng hậu_môn trong nước ấm từ 10 đến 15 phút và từ hai đến ba lần một ngày . Một bồn_tắm ngồi phù_hợp với nhà_vệ_sinh . Giữ cho vùng hậu_môn sạch_sẽ . Tắm hàng ngày để làm sạch vùng da xung_quanh hậu_môn một_cách nhẹ_nhàng bằng nước ấm . Tránh dùng khăn lau có cồn hoặc nước_hoa . Lau nhẹ_nhàng hoặc sử_dụng máy_sấy khô . Không sử_dụng giấy_vệ_sinh khô . Để giúp giữ cho khu_vực hậu_môn sạch_sẽ sau khi đi_đại_tiện , hãy sử_dụng khăn ẩm hoặc giấy_vệ_sinh ướt không chứa nước_hoa hoặc cồn . Chườm túi nước_đá hoặc chườm nước lạnh lên vùng hậu_môn để giảm sưng . Uống thuốc giảm đau . Với các phương_pháp điều_trị này , các triệu_chứng bệnh trĩ thường biến mất trong vòng một tuần . Gặp bác_sĩ nếu_như không giảm đau trong một tuần hoặc sớm hơn_nữa nếu bị đau nặng hơn hoặc chảy_máu . 8 . 2 . Thuốc . Nếu bệnh trĩ chỉ gây ra sự khó_chịu nhẹ , bác_sĩ có_thể chỉ_định sử_dụng các loại kem không kê đơn , thuốc_mỡ , thuốc_đạn hoặc miếng lót . Những sản_phẩm này có chứa các thành_phần như witch haze , hydrocortison và lidocaine , có_thể làm tạm_thời giảm đau và ngứa . Không nên sử_dụng kem steroid không kê đơn trong hơn một tuần trừ khi có chỉ_định của bác_sĩ vì nó có_thể khiến da bị mỏng . 8 . 3 . Cắt trĩ . Nếu cục máu đông ( huyết khối ) đã hình_thành trong bệnh trĩ ngoại , bác_sĩ có_thể loại_bỏ cục máu đông bằng một vết mổ và dẫn_lưu đơn_giản , giúp giảm đau nhanh_chóng . Thủ_thuật này có hiệu_quả nhất nếu được thực_hiện trong vòng 72 giờ sau khi cục máu đông hình_thành . Thắt vòng cao_su : Bác_sĩ đặt một hoặc hai dải cao_su nhỏ xung_quanh gốc của một búi trĩ nội để cắt đứt lưu_thông máu nuôi_dưỡng búi trĩ . Sau một thời_gian , búi trĩ khô_héo và rụng trong vòng một tuần . Thủ_thuật này có hiệu_quả đối_với nhiều người . Chích xơ : Các bác_sĩ sẽ tiêm một dung_dịch hoá_chất vào mạch_máu để làm co lại các búi trĩ . Trong khi tiêm gây ra ít hoặc không đau , tuy_nhiên biện_pháp này thể kém hiệu_quả hơn so với thắt vòng cao_su . Quang đông hồng_ngoại : sử_dụng tia laser hoặc tia_hồng_ngoại hoặc nhiệt chiếu vào búi trĩ và làm cho búi trĩ cứng và teo lại . Phẫu_thuật cắt búi trĩ : bác_sĩ sẽ đề_nghị tiến_hành cắt búi trĩ nếu chúng quá lớn và các phương_pháp khác không hiệu_quả .","Bệnh_nhân Bích , một phụ_nữ 30 tuổi , đến bác_sĩ với triệu_chứng của việc thấy đau và sưng ở hậu_môn , cùng với máu trong phân . Bác_sĩ đã chẩn_đoán bệnh trĩ và muốn giải_thích về các phương_pháp điều_trị cho bệnh_nhân . Phương_pháp điều_trị nào thường được khuyến_khích cho bệnh_nhân mắc bệnh trĩ nặng ?","A , B , C , D.",Thắt vòng cao_su .,Chích xơ .,Quang đông hồng_ngoại .,Phẫu_thuật .,,,,
84,883,400225.0,540.0,Các biện_pháp điều_trị .,Trĩ .,Multi-Choice.,"Bệnh trĩ và các phương_pháp điều_trị . Chữa bệnh trĩ như_thế_nào cho hiệu_quả ? 8 . 1 . Điều_trị tại nhà : Ăn thực_phẩm nhiều chất xơ . Ăn nhiều trái_cây , rau và ngũ_cốc . Làm như_vậy để làm mềm phân và tăng số_lượng , điều này sẽ giúp bạn tránh được người phải rặn nhiều có_thể làm trầm_trọng thêm các triệu_chứng bệnh trĩ hiện có . Sử_dụng phương_pháp điều_trị tại_chỗ . Bôi kem hoặc thuốc bôi trĩ không kê đơn có chứa hydrocortison , hoặc sử_dụng miếng lót có chứa witch haze hoặc chất gây_tê . Ngâm thường_xuyên trong bồn nước ấm hoặc tắm ngồi ( sitz bath ) . Ngâm vùng hậu_môn trong nước ấm từ 10 đến 15 phút và từ hai đến ba lần một ngày . Một bồn_tắm ngồi phù_hợp với nhà_vệ_sinh . Giữ cho vùng hậu_môn sạch_sẽ . Tắm hàng ngày để làm sạch vùng da xung_quanh hậu_môn một_cách nhẹ_nhàng bằng nước ấm . Tránh dùng khăn lau có cồn hoặc nước_hoa . Lau nhẹ_nhàng hoặc sử_dụng máy_sấy khô . Không sử_dụng giấy_vệ_sinh khô . Để giúp giữ cho khu_vực hậu_môn sạch_sẽ sau khi đi_đại_tiện , hãy sử_dụng khăn ẩm hoặc giấy_vệ_sinh ướt không chứa nước_hoa hoặc cồn . Chườm túi nước_đá hoặc chườm nước lạnh lên vùng hậu_môn để giảm sưng . Uống thuốc giảm đau . Với các phương_pháp điều_trị này , các triệu_chứng bệnh trĩ thường biến mất trong vòng một tuần . Gặp bác_sĩ nếu_như không giảm đau trong một tuần hoặc sớm hơn_nữa nếu bị đau nặng hơn hoặc chảy_máu . 8 . 2 . Thuốc . Nếu bệnh trĩ chỉ gây ra sự khó_chịu nhẹ , bác_sĩ có_thể chỉ_định sử_dụng các loại kem không kê đơn , thuốc_mỡ , thuốc_đạn hoặc miếng lót . Những sản_phẩm này có chứa các thành_phần như witch haze , hydrocortison và lidocaine , có_thể làm tạm_thời giảm đau và ngứa . Không nên sử_dụng kem steroid không kê đơn trong hơn một tuần trừ khi có chỉ_định của bác_sĩ vì nó có_thể khiến da bị mỏng . 8 . 3 . Cắt trĩ . Nếu cục máu đông ( huyết khối ) đã hình_thành trong bệnh trĩ ngoại , bác_sĩ có_thể loại_bỏ cục máu đông bằng một vết mổ và dẫn_lưu đơn_giản , giúp giảm đau nhanh_chóng . Thủ_thuật này có hiệu_quả nhất nếu được thực_hiện trong vòng 72 giờ sau khi cục máu đông hình_thành . Thắt vòng cao_su : Bác_sĩ đặt một hoặc hai dải cao_su nhỏ xung_quanh gốc của một búi trĩ nội để cắt đứt lưu_thông máu nuôi_dưỡng búi trĩ . Sau một thời_gian , búi trĩ khô_héo và rụng trong vòng một tuần . Thủ_thuật này có hiệu_quả đối_với nhiều người . Chích xơ : Các bác_sĩ sẽ tiêm một dung_dịch hoá_chất vào mạch_máu để làm co lại các búi trĩ . Trong khi tiêm gây ra ít hoặc không đau , tuy_nhiên biện_pháp này thể kém hiệu_quả hơn so với thắt vòng cao_su . Quang đông hồng_ngoại : sử_dụng tia laser hoặc tia_hồng_ngoại hoặc nhiệt chiếu vào búi trĩ và làm cho búi trĩ cứng và teo lại . Phẫu_thuật cắt búi trĩ : bác_sĩ sẽ đề_nghị tiến_hành cắt búi trĩ nếu chúng quá lớn và các phương_pháp khác không hiệu_quả .","Bệnh_nhân Cường , một người đàn_ông 55 tuổi , đến bác_sĩ với triệu_chứng của việc thấy đau và ngứa ở hậu_môn , cùng với máu trong phân . Bác_sĩ đã chẩn_đoán bệnh trĩ và muốn giải_thích về các phương_pháp điều_trị cho bệnh_nhân . Nếu điều_trị tại nhà thì chúng_ta phải sử_dụng phương_pháp nào ?","A , C , D.",Sử_dụng thuốc bôi trĩ không kê đơn có chứa hydrocortison .,Ngâm vùng hậu_môn trong nước ấm từ 5 đến 10 phút và từ hai đến ba lần một ngày .,Giữ cho vùng hậu_môn sạch_sẽ .,Ăn thực_phẩm nhiều chất xơ .,,,,
85,886,400364.0,540.0,Các biện_pháp điều_trị .,Trĩ .,Multi-Choice.,"Bệnh trĩ và các phương_pháp điều_trị . Chữa bệnh trĩ như_thế_nào cho hiệu_quả ? 8 . 1 . Điều_trị tại nhà : Ăn thực_phẩm nhiều chất xơ . Ăn nhiều trái_cây , rau và ngũ_cốc . Làm như_vậy để làm mềm phân và tăng số_lượng , điều này sẽ giúp bạn tránh được người phải rặn nhiều có_thể làm trầm_trọng thêm các triệu_chứng bệnh trĩ hiện có . Sử_dụng phương_pháp điều_trị tại_chỗ . Bôi kem hoặc thuốc bôi trĩ không kê đơn có chứa hydrocortison , hoặc sử_dụng miếng lót có chứa witch haze hoặc chất gây_tê . Ngâm thường_xuyên trong bồn nước ấm hoặc tắm ngồi ( sitz bath ) . Ngâm vùng hậu_môn trong nước ấm từ 10 đến 15 phút và từ hai đến ba lần một ngày . Một bồn_tắm ngồi phù_hợp với nhà_vệ_sinh . Giữ cho vùng hậu_môn sạch_sẽ . Tắm hàng ngày để làm sạch vùng da xung_quanh hậu_môn một_cách nhẹ_nhàng bằng nước ấm . Tránh dùng khăn lau có cồn hoặc nước_hoa . Lau nhẹ_nhàng hoặc sử_dụng máy_sấy khô . Không sử_dụng giấy_vệ_sinh khô . Để giúp giữ cho khu_vực hậu_môn sạch_sẽ sau khi đi_đại_tiện , hãy sử_dụng khăn ẩm hoặc giấy_vệ_sinh ướt không chứa nước_hoa hoặc cồn . Chườm túi nước_đá hoặc chườm nước lạnh lên vùng hậu_môn để giảm sưng . Uống thuốc giảm đau . Với các phương_pháp điều_trị này , các triệu_chứng bệnh trĩ thường biến mất trong vòng một tuần . Gặp bác_sĩ nếu_như không giảm đau trong một tuần hoặc sớm hơn_nữa nếu bị đau nặng hơn hoặc chảy_máu . 8 . 2 . Thuốc . Nếu bệnh trĩ chỉ gây ra sự khó_chịu nhẹ , bác_sĩ có_thể chỉ_định sử_dụng các loại kem không kê đơn , thuốc_mỡ , thuốc_đạn hoặc miếng lót . Những sản_phẩm này có chứa các thành_phần như witch haze , hydrocortison và lidocaine , có_thể làm tạm_thời giảm đau và ngứa . Không nên sử_dụng kem steroid không kê đơn trong hơn một tuần trừ khi có chỉ_định của bác_sĩ vì nó có_thể khiến da bị mỏng . 8 . 3 . Cắt trĩ . Nếu cục máu đông ( huyết khối ) đã hình_thành trong bệnh trĩ ngoại , bác_sĩ có_thể loại_bỏ cục máu đông bằng một vết mổ và dẫn_lưu đơn_giản , giúp giảm đau nhanh_chóng . Thủ_thuật này có hiệu_quả nhất nếu được thực_hiện trong vòng 72 giờ sau khi cục máu đông hình_thành . Thắt vòng cao_su : Bác_sĩ đặt một hoặc hai dải cao_su nhỏ xung_quanh gốc của một búi trĩ nội để cắt đứt lưu_thông máu nuôi_dưỡng búi trĩ . Sau một thời_gian , búi trĩ khô_héo và rụng trong vòng một tuần . Thủ_thuật này có hiệu_quả đối_với nhiều người . Chích xơ : Các bác_sĩ sẽ tiêm một dung_dịch hoá_chất vào mạch_máu để làm co lại các búi trĩ . Trong khi tiêm gây ra ít hoặc không đau , tuy_nhiên biện_pháp này thể kém hiệu_quả hơn so với thắt vòng cao_su . Quang đông hồng_ngoại : sử_dụng tia laser hoặc tia_hồng_ngoại hoặc nhiệt chiếu vào búi trĩ và làm cho búi trĩ cứng và teo lại . Phẫu_thuật cắt búi trĩ : bác_sĩ sẽ đề_nghị tiến_hành cắt búi trĩ nếu chúng quá lớn và các phương_pháp khác không hiệu_quả .","Bệnh trĩ không_chỉ đơn_thuần là bệnh của tĩnh_mạch . Đây là các bệnh của 1 hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết , được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Chị Tâm được chẩn_đoán mắc bệnh trĩ dạng nhẹ , và có_thể điều_trị bằng thuốc , chị nên sử_dụng các loại sản_phẩm thuốc bôi có chứa thành_phần gì để tạm_thời giảm ngứa ?","A , B , D.",Witch haze .,Hydrocortison .,Thiamine .,Lidocaine .,,,,
86,887,400363.0,540.0,Các biện_pháp điều_trị .,Trĩ .,Multi-Choice.,"Bệnh trĩ và các phương_pháp điều_trị . Chữa bệnh trĩ như_thế_nào cho hiệu_quả ? 8 . 1 . Điều_trị tại nhà : Ăn thực_phẩm nhiều chất xơ . Ăn nhiều trái_cây , rau và ngũ_cốc . Làm như_vậy để làm mềm phân và tăng số_lượng , điều này sẽ giúp bạn tránh được người phải rặn nhiều có_thể làm trầm_trọng thêm các triệu_chứng bệnh trĩ hiện có . Sử_dụng phương_pháp điều_trị tại_chỗ . Bôi kem hoặc thuốc bôi trĩ không kê đơn có chứa hydrocortison , hoặc sử_dụng miếng lót có chứa witch haze hoặc chất gây_tê . Ngâm thường_xuyên trong bồn nước ấm hoặc tắm ngồi ( sitz bath ) . Ngâm vùng hậu_môn trong nước ấm từ 10 đến 15 phút và từ hai đến ba lần một ngày . Một bồn_tắm ngồi phù_hợp với nhà_vệ_sinh . Giữ cho vùng hậu_môn sạch_sẽ . Tắm hàng ngày để làm sạch vùng da xung_quanh hậu_môn một_cách nhẹ_nhàng bằng nước ấm . Tránh dùng khăn lau có cồn hoặc nước_hoa . Lau nhẹ_nhàng hoặc sử_dụng máy_sấy khô . Không sử_dụng giấy_vệ_sinh khô . Để giúp giữ cho khu_vực hậu_môn sạch_sẽ sau khi đi_đại_tiện , hãy sử_dụng khăn ẩm hoặc giấy_vệ_sinh ướt không chứa nước_hoa hoặc cồn . Chườm túi nước_đá hoặc chườm nước lạnh lên vùng hậu_môn để giảm sưng . Uống thuốc giảm đau . Với các phương_pháp điều_trị này , các triệu_chứng bệnh trĩ thường biến mất trong vòng một tuần . Gặp bác_sĩ nếu_như không giảm đau trong một tuần hoặc sớm hơn_nữa nếu bị đau nặng hơn hoặc chảy_máu . 8 . 2 . Thuốc . Nếu bệnh trĩ chỉ gây ra sự khó_chịu nhẹ , bác_sĩ có_thể chỉ_định sử_dụng các loại kem không kê đơn , thuốc_mỡ , thuốc_đạn hoặc miếng lót . Những sản_phẩm này có chứa các thành_phần như witch haze , hydrocortison và lidocaine , có_thể làm tạm_thời giảm đau và ngứa . Không nên sử_dụng kem steroid không kê đơn trong hơn một tuần trừ khi có chỉ_định của bác_sĩ vì nó có_thể khiến da bị mỏng . 8 . 3 . Cắt trĩ . Nếu cục máu đông ( huyết khối ) đã hình_thành trong bệnh trĩ ngoại , bác_sĩ có_thể loại_bỏ cục máu đông bằng một vết mổ và dẫn_lưu đơn_giản , giúp giảm đau nhanh_chóng . Thủ_thuật này có hiệu_quả nhất nếu được thực_hiện trong vòng 72 giờ sau khi cục máu đông hình_thành . Thắt vòng cao_su : Bác_sĩ đặt một hoặc hai dải cao_su nhỏ xung_quanh gốc của một búi trĩ nội để cắt đứt lưu_thông máu nuôi_dưỡng búi trĩ . Sau một thời_gian , búi trĩ khô_héo và rụng trong vòng một tuần . Thủ_thuật này có hiệu_quả đối_với nhiều người . Chích xơ : Các bác_sĩ sẽ tiêm một dung_dịch hoá_chất vào mạch_máu để làm co lại các búi trĩ . Trong khi tiêm gây ra ít hoặc không đau , tuy_nhiên biện_pháp này thể kém hiệu_quả hơn so với thắt vòng cao_su . Quang đông hồng_ngoại : sử_dụng tia laser hoặc tia_hồng_ngoại hoặc nhiệt chiếu vào búi trĩ và làm cho búi trĩ cứng và teo lại . Phẫu_thuật cắt búi trĩ : bác_sĩ sẽ đề_nghị tiến_hành cắt búi trĩ nếu chúng quá lớn và các phương_pháp khác không hiệu_quả .","Bệnh trĩ không_chỉ đơn_thuần là bệnh của tĩnh_mạch . Đây là các bệnh của 1 hệ_thống mạch_máu từ tiểu động_mạch , tĩnh_mạch , thông nối động_tĩnh mạch đến cơ_trơn và mô liên_kết , được lót bởi lớp biểu mô bình_thường của ống hậu_môn . Trong các biện_pháp điều_trị bệnh trĩ , ta có_thể điều_trị trĩ tại nhà , những việc mà bệnh_nhân mắc bệnh trĩ nên làm khi điều_trị tại nhà là gì ?","A , B , C , D.",Bôi kem hoặc thuốc bôi trĩ không kê đơn có chứa hydrocortison .,Ăn thực_phẩm nhiều chất xơ .,"Ăn nhiều trái_cây , rau và ngũ_cốc .",Sử_dụng miếng lót có chứa witch haze hoặc chất gây_tê .,,,,
