context,result,question,A,B,C,D
"Phượng không phải là một đóa, không phải vài cành; phượng đây là cả một loạt, cả một vùng, cả một góc trời đỏ rực. Mỗi hoa chỉ là một phần tử của xã hội thắm tươi; người ta quên đóa hoa, chỉ nghĩ đến cây, đến hàng, đến những tán hoa lớn xòe ra như muôn ngàn con bướm thắm đậu khít nhau.

Nhưng hoa càng đỏ, lá lại càng xanh. Vừa buồn mà lại vừa vui mới thực là nỗi niềm của bông phượng. Hoa phượng là hoa học trò. Mùa xuân, phượng ra lá. Lá xanh um, mát rượi, ngon lành như lá me non. Lá ban đầu xếp lại, còn e ấp, dần dần xòe ra cho gió đưa đẩy. Lòng cậu học trò phơi phới làm sao! Cậu chăm lo học hành, rồi lâu cũng vô tâm quên mất màu lá phượng. Một hôm, bỗng đâu trên những cành cây, báo một tim thắm: Mùa hoa phượng bắt đầu. Đến giờ chơi, cậu học trò ngạc nhiên trông lên: Hoa nở lúc nào mà bất ngờ vậy?

Bình minh của hoa phượng là màu đỏ còn non, nếu có mưa, lại càng tươi dịu. Ngày xuân dần hết, số hoa tăng lên, màu cũng đậm dần. Rồi hòa nhịp với mặt trời chói lọi, màu phượng mạnh mẽ kêu vang: Hè đến rồi! Khắp thành phố bỗng rực lên như đến Tết nhà nhà đều dán câu đối đỏ.",[A],Hoa phượng màu gì?,Đỏ.,Xanh.,Vàng.,Tím.
"Phượng không phải là một đóa, không phải vài cành; phượng đây là cả một loạt, cả một vùng, cả một góc trời đỏ rực. Mỗi hoa chỉ là một phần tử của xã hội thắm tươi; người ta quên đóa hoa, chỉ nghĩ đến cây, đến hàng, đến những tán hoa lớn xòe ra như muôn ngàn con bướm thắm đậu khít nhau.

Nhưng hoa càng đỏ, lá lại càng xanh. Vừa buồn mà lại vừa vui mới thực là nỗi niềm của bông phượng. Hoa phượng là hoa học trò. Mùa xuân, phượng ra lá. Lá xanh um, mát rượi, ngon lành như lá me non. Lá ban đầu xếp lại, còn e ấp, dần dần xòe ra cho gió đưa đẩy. Lòng cậu học trò phơi phới làm sao! Cậu chăm lo học hành, rồi lâu cũng vô tâm quên mất màu lá phượng. Một hôm, bỗng đâu trên những cành cây, báo một tim thắm: Mùa hoa phượng bắt đầu. Đến giờ chơi, cậu học trò ngạc nhiên trông lên: Hoa nở lúc nào mà bất ngờ vậy?

Bình minh của hoa phượng là màu đỏ còn non, nếu có mưa, lại càng tươi dịu. Ngày xuân dần hết, số hoa tăng lên, màu cũng đậm dần. Rồi hòa nhịp với mặt trời chói lọi, màu phượng mạnh mẽ kêu vang: Hè đến rồi! Khắp thành phố bỗng rực lên như đến Tết nhà nhà đều dán câu đối đỏ.",[B],Hoa phượng đẹp nhất vào mùa nào trong năm?,Xuân.,Hạ.,Thu.,Đông.
"Phượng không phải là một đóa, không phải vài cành; phượng đây là cả một loạt, cả một vùng, cả một góc trời đỏ rực. Mỗi hoa chỉ là một phần tử của xã hội thắm tươi; người ta quên đóa hoa, chỉ nghĩ đến cây, đến hàng, đến những tán hoa lớn xòe ra như muôn ngàn con bướm thắm đậu khít nhau.

Nhưng hoa càng đỏ, lá lại càng xanh. Vừa buồn mà lại vừa vui mới thực là nỗi niềm của bông phượng. Hoa phượng là hoa học trò. Mùa xuân, phượng ra lá. Lá xanh um, mát rượi, ngon lành như lá me non. Lá ban đầu xếp lại, còn e ấp, dần dần xòe ra cho gió đưa đẩy. Lòng cậu học trò phơi phới làm sao! Cậu chăm lo học hành, rồi lâu cũng vô tâm quên mất màu lá phượng. Một hôm, bỗng đâu trên những cành cây, báo một tim thắm: Mùa hoa phượng bắt đầu. Đến giờ chơi, cậu học trò ngạc nhiên trông lên: Hoa nở lúc nào mà bất ngờ vậy?

Bình minh của hoa phượng là màu đỏ còn non, nếu có mưa, lại càng tươi dịu. Ngày xuân dần hết, số hoa tăng lên, màu cũng đậm dần. Rồi hòa nhịp với mặt trời chói lọi, màu phượng mạnh mẽ kêu vang: Hè đến rồi! Khắp thành phố bỗng rực lên như đến Tết nhà nhà đều dán câu đối đỏ.",[B],"Khi thấy hoa phượng nở, người ta sẽ nghĩ đến điều gì?",Một mùa nhập học lại đến.,Một mùa nghỉ học lại đến.,Sắp được nghỉ Tết.,Một mùa nhập học đến.
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[B],Bạn nhỏ từ đâu về thăm lại quê hương?,Nước ngoài.,Thành phố.,Trên nú.,Hải đảo.
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[D],Quê ngoại bạn nhỏ ở nơi nào?,Miền núi.,Nước ngoài.,Thành phố.,Nông thôn.
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[B],"Qua hai câu thơ ""Bạn bè ríu rít tìm nhau / Qua con đường đất rực màu rơm phơi"" cho thấy điều gì đáng quý ở người nông thôn?","Người nông dân đôn hậu, chất phác, cần cù.","Trẻ nhỏ hồn nhiên, thân thiết, gắn bó với nhau.","Cụ già sống giản dị, mộc mạc, chân thật.",Tất cả các ý trên.
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[A],"Từ ""chân đất"" trong bài thơ này nói lên điều gì?","Người nông dân chân lấm tay bùn, vất vả nhưng cần cù.","Những người nhà quê đi chân đất, không đi dép.","Những người nghèo khó, khổ sở, sống tiết kiệm.",Tất cả các ý trên.
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[D],"Hai câu thơ ""Những người chân đất thật thà / Em thương như thể thương bà ngoại em."" cho thấy bạn nhỏ nghĩ gì về những người làm ra hạt gạo?",Họ rất lười biếng.,"Họ rất giàu có, dư dả.","Họ rất nghèo khổ, khó khăn.","Họ rất thật thà, chấc phác."
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[C],Nội dung của bài thơ này là gì?,Kỉ niệm của bạn nhỏ trong những năm tháng tuổi thơ.,"Nỗi nhớ quê ngoại, nhớ người bà và người làng của bạn nhỏ.",Tình yêu cảnh vật và con người của bạn nhỏ trong một lần về thăm quê.,Niềm vui của bạn nhỏ trong kì nghỉ hè.
"Em về quê ngoại nghỉ hè
Gặp đầm sen nở mà mê hương trời.
Gặp bà tuổi đã tám mươi
Quên quên nhớ nhớ những lời ngày xưa.

Gặp trăng gặp gió bất ngờ,
Ở trong phố chẳng bao giờ có đâu.
Bạn bè ríu rít tìm nhau
Qua con đường đất rực màu rơm phơi.

Bóng tre mát rợp vai người
Vầng trăng như lá thuyền trôi êm đềm.
Về thăm quê ngoại, lòng em
Yêu thêm cuộc sống, yêu thêm con người:

Em ăn hạt gạo lâu rồi
Hôm nay mới gặp những người làm ra.
Những người chân đất thật thà
Em thương như thể thương bà ngoại em.",[C],"Từ ""người làm ra"" trong hai câu thơ ""Em ăn hạt gạo lâu rồi / Hôm nay mới gặp những người làm ra"" chỉ ai?",Người giàu có.,Người nghèo khổ.,Người nông dân.,Người địa chủ.
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[B],"Khi đi dạo trong vườn, Bác và anh cần vụ đã thấy cái gì?",Cá vàng dưới ao ngoi lên đớp mồi.,Một chiếc rễ đa nằm trên mặt đất.,Một chú chim non bị gãy cánh.,Cây cối đổ nghiêng ngả sau trận bão.
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[B],"Khi nhìn thấy chiếc rễ đa nằm trên mặt đất, Bác bảo chú cần vụ làm gì?",Chú cuốn rễ này lại rồi làm vòng cho các cháu thiếu nhi chơi nhé!.,"Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!.",Chú đem rễ đa này đặt dưới gốc cây đa to kia nhé!.,Chú đem rễ đa này phơi làm củi đun nhé.
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[D],Chú cần vụ đã làm gì khi nhìn thấy chiếc rễ đa?,Chú đem ngâm chiếc rễ trong nước cho nảy mầm.,"Chú cần vụ xới đất, trồng hai đầu của chiếc rễ xuống.",Chú ghép chiếc rễ vào cành cây khác để tạo giống mới.,"Chú cần vụ xới đất, vùi chiếc rễ xuống."
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[A],Chiếc rễ đa đã trở thành cây đa có hình dáng như thế nào?,Chiếc rễ trở thành cây đa con có vòng lá tròn.,"Chiếc rễ trở thành cây đa khổng lồ, xanh um.",Chiếc rễ trở thành cây đa có hình thù như rắn hổ mang.,Chiếc rễ trở thành cây đa con như quả cầu khổng lồ.
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[D],Các bạn nhỏ thường thích chơi trò gì bên cây đa?,Em nào cũng thích ngồi dưới gốc đa ấy nghe Bác kể chuyện.,Em nào cũng thích chơi xích đu dưới tán cây đa con ấy.,"Em nào cũng thích chơi ú tim, trốn tìm quanh gốc đa ấy.",Em nào cũng thích chơi trò chui qua chui lại vòng lá ấy.
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[B],Vì sao Bác cho trồng chiếc rễ đa thành hình tròn?,"Bác sống rất giản dị, tiết kiệm và liêm khiết.","Bác rất yêu quý thiếu nhi, đặc biệt là thiếu nhi Việt Nam.",Bác rất quan tâm đến mọi người xung quanh.,"Bác rất yêu thiên nhiên, yêu cây xanh."
"1. Một sớm hôm ấy, như thường lên, sau khi tập thể dục, Bác Hồ đi dạo trong vườn. Đến gần cây đa, Bác chợt thấy một chiếc rễ đa nhỏ và dài ngoằn ngoèo nằm trên mặt đất. Chắc là trận gió đêm qua đã làm nó rơi xuống. Bác tần ngần một lát, rồi bảo chú cần vụ đứng gần đấy:

- Chú cuốn rễ này lại, rồi trồng cho nó mọc tiếp nhé!

2. Theo lời Bác, chú cần vụ xới đất, vùi chiếc rễ xuống. Nhưng Bác lại bảo:

- Chú nên làm thế này.

Nói rồi, Bác cuộn chiếc rễ thành một vòng tròn và bảo chú cần vụ buộc nó tựa vào hai cái cọc, sau đó mới vùi hai đầu rễ xuống đất.

Chú cần vụ thắc mắc:

- Thưa Bác, làm thế để làm gì ạ?

Bác khẽ cười:

- Rồi chú sẽ biết.

3. Nhiều năm sau, chiếc rễ đã bén đất và thành cây đa con có vòng lá tròn. Thiếu nhi vào thăm vườn Bác, em nào cũng thích chơi trò chui qua chui lại vòng lá ấy. Lúc đó, mọi người mới hiểu vì sao Bác cho trồng chiếc rễ đa thành hình tròn như thế.",[D],Chi tiết nào cho thấy Bác rất yêu thương thiếu nhi?,Bác rất quan tâm đến cuộc sống của đồng bào miền núi.,"Bác sống rất giản dị, tiết kiệm và bao dung.",Bác rất yêu thiên nhiên và có ý thức bảo vệ môi trường.,Bác cho trồng chiếc rễ đa thành hình tròn để về sau có chiếc vòng cho thiếu nhi vui chơi.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[C],Những con vật nào được nhắc đến trong bài?,Bê Vàng và Dê Vàng.,Dê Trắng và Bê Trắng.,Bê Vàng và Dê Trắng.,Dê Vàng và Bê Trắng.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[B],Bê Vàng và Dê Trắng sống ở đâu?,Ở núi đồi rộng lớn bao la.,Trong rừng sâu thẳm.,Ở trong trang trại của người.,Ở trên thảo nguyên bao la.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[D],Vì sao Bê Vàng quyết định đi tìm cỏ?,Vì đôi bạn cần tích luỹ nhiều cỏ cho mùa đông lạnh lẽo.,Vì đôi bạn thích hoa thơm cỏ lạ ở cánh đồng khác.,Vì cỏ trên cánh đồng đã cạn kiệt mà Dê Trắng thì đói.,"Vì khí hậu khắc nghiệt, cây cỏ khô héo, không có gì để ăn."
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[B],Chuyện gì đã xảy ra khi Bê Vàng đi tìm cỏ?,Dê Trắng đi theo Bê Vàng.,Bê Vàng quên đường về.,Bê Vàng mải chơi quên mất bạn.,Bê Trắng quên đường về.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[C],"Khi Bê Vàng quên đường đi lối về, Dê Trắng đã làm gì?",Dê Trắng thương nhớ bạn mà bị ốm.,Dê Trắng ở nhà cũng tìm thấy cỏ ăn.,"Dê Trắng thương bạn, chạy đi tìm Bê.",Dê Trắng cũng ra đi và tìm thấy bạn.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[B],Dê Trắng có tìm thấy Bê Vàng không?,Có gặp lại nhau và sống chung đến cuối đời.,Không gặp lại nhau.,Tìm thấy nhưng rồi lại lạc mất nhau thêm một lần nữa.,Tìm thấy nhưng đôi bạn quyết định không gặp nhau nữa.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[C],"Ngày nay, tại sao Dê Trắng vẫn kêu ""bê bê""?",Vì Dê Trắng thương nhớ bạn Bê Vàng.,Vì Dê Trắng đi tìm bạn Bê Vàng.,Vì Dê Trắng thương nhớ và vẫn chưa tìm thấy bạn nên gọi hoài tên bạn.,Vì Dê Trắng chỉ có một người bạn là Bê Vàng.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[A],Nguyên nhân sâu xa dẫn đến sự chia lìa nhau của Bê Vàng và Bê Trắng?,"Do thời tiết khắc nghiệt, nên Bê Vàng đi tìm thức ăn ở vùng khác và kể từ đó lạc mất nhau.",Vì quá đói.,Vì Bê Vàng muốn đi kiếm bạn mới.,Tìm đến sự sống mới.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[A],"Nghĩa của từ ""lang thang"" là gì?","Đi hết chỗ này đến chỗ khác, không dừng lại ở nơi nào.","Trèo lên những bậc thang, liên tục, không dừng lại.",Đi đến địa điểm đã vạch sẵn theo kế hoạch.,Đi du lịch từ nơi này đến nơi khác theo một hành trình.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[A],Bê Vàng và Bê Trắng là gì của nhau?,Là đôi bạn.,Là kẻ thù.,Là vợ chồng.,Là cha con.
"Tự xa xưa thuở nào

Trong rừng xanh sâu thẳm

Đôi bạn sống bên nhau

Bê Vàng và Dê Trắng

Một năm, trời hạn hán

Lấy gì nuôi đôi bạn

Chờ mưa đến bao giờ?

Bê Vàng đi tìm cỏ

Lang thang quên đường về

Dê Trắng thương bạn quá

Chạy khắp nẻo tìm Bê

Đến bây giờ Dê Trắng

Vẫn gọi hoài : ""Bê! Bê!""",[B],Nội dung chính của bài đọc này là gì?,"Nói về Dê Trắng, đến giờ vẫn có tiếng kêu ""bê bê"".",Nói lên tình bạn thân thiết gắn bó giữa Bê Vàng và Dê Trắng.,Nói về đôi bạn chơi thân với nhau là Bê Vàng và Dê Trắng.,"Nói về năm trời hạn, suối cạn, cỏ héo khiến đôi bạn bị lạc nhau."
