,id,context,type,result,question,A,B,C,D
496,00200059,"Triệu chứng viêm ống dẫn trứng thường biểu hiện đa dạng, bao gồm: ­ Đau bụng dưới, đau lưng. ­ Khí hư ra nhiều, tăng tiết dịch âm đạo bất thường như màu vàng đục, có mùi hôi. ­ Kinh nguyệt không đều. ­ Biểu hiện toàn thân với sốt, ớn lạnh, buồn nôn hoặc nôn nhiều. ­ Các biểu hiện nhiễm trùng đường tiểu như tiểu buốt, tiểu rắt. ­ Những bất thường trong quan hệ tình dục như giao hợp đau. Ở giai đoạn đầu, bệnh thường không có biểu hiện hay triệu chứng nào rõ ràng. Một số bệnh nhân có thể chỉ thỉnh thoảng gặp cảm giác khó chịu ở phần bụng dưới, đến khi được chẩn đoán thì bệnh đã nặng. Nếu không được điều trị đúng cách, viêm ống dẫn trứng còn có biểu hiện của những biến chứng do nó gây ra như viêm buồng trứng, viêm tử cung, áp xe phần phụ, viêm phúc mạc vùng chậu, thai ngoài tử cung, vô sinh.",Multi-Choice,"['A', 'B']",Bệnh viêm vòi trứng được chia làm 2 dạng: viêm vòi trứng cấp tính và viêm vòi trứng mãn tính. Tuỳ theo mức độ của bệnh mà triệu chứng viêm ống dẫn trứng sẽ khác nhau. Hãy cho biết viêm vòi trứng cấp tính gồm những triệu chứng nào?,Khí hư ra nhiều và có màu sắc ngả vàng.,Chu kỳ kinh nguyệt thất thường.,Khó có con.,Đau ở vùng chậu.
497,00200060,"Triệu chứng viêm ống dẫn trứng thường biểu hiện đa dạng, bao gồm: ­ Đau bụng dưới, đau lưng. ­ Khí hư ra nhiều, tăng tiết dịch âm đạo bất thường như màu vàng đục, có mùi hôi. ­ Kinh nguyệt không đều. ­ Biểu hiện toàn thân với sốt, ớn lạnh, buồn nôn hoặc nôn nhiều. ­ Các biểu hiện nhiễm trùng đường tiểu như tiểu buốt, tiểu rắt. ­ Những bất thường trong quan hệ tình dục như giao hợp đau. Ở giai đoạn đầu, bệnh thường không có biểu hiện hay triệu chứng nào rõ ràng. Một số bệnh nhân có thể chỉ thỉnh thoảng gặp cảm giác khó chịu ở phần bụng dưới, đến khi được chẩn đoán thì bệnh đã nặng. Nếu không được điều trị đúng cách, viêm ống dẫn trứng còn có biểu hiện của những biến chứng do nó gây ra như viêm buồng trứng, viêm tử cung, áp xe phần phụ, viêm phúc mạc vùng chậu, thai ngoài tử cung, vô sinh.",Multi-Choice,"['B', 'D']","Viêm ống dẫn trứng mãn tính thường diễn ra âm thầm, âm ỉ trong cơ thể người bệnh và không có biểu hiện rõ ràng. Những triệu chứng nào bác sĩ có thể phán đoán được bệnh nhân mắc bệnh này?","Sốt, buồn nôn.","Đau ở vùng chậu, đau mỏi vùng lưng lâu ngày.","Tiểu buốt, tiểu rắt.","Thường xuyên bị chậm kinh, mất kinh, thống kinh."
498,00200061,"Bệnh viêm ống dẫn trứng có thể được lây truyền qua đường quan hệ tình dục không an toàn, nhiễm các vi khuẩn như lậu cầu và chlamydia.",Single-Choice,['B'],"Chị Bích 45 tuổi, rất lo sợ về các bệnh phụ khoa, trong đó có viêm ống dẫn trứng. Chị muốn tìm hiểu bệnh này lây truyền qua đâu?",Lây truyền từ mẹ sang con qua quá trình sinh.,Quan hệ tình dục không an toàn.,Tiếp xúc với máu của người nhiễm bệnh.,Tiếp xúc với nước tiểu của người nhiễm bệnh.
499,00200062,"Bệnh viêm ống dẫn trứng có thể được lây truyền qua đường quan hệ tình dục không an toàn, nhiễm các vi khuẩn như lậu cầu và chlamydia.",Multi-Choice,"['B', 'C']",Viêm ống dẫn trứng là căn bệnh xuất hiện khi phụ nữ ở độ tuổi sinh sản. Tỷ lệ bị bệnh ngày càng tăng khiến chất lượng cuộc sống gặp nhiều vấn đề. Bệnh này có thể lây truyền qua đâu?,Do nhiễm trực khuẩn Suptilit.,Do nhiễm vi khuẩn Neisseria gonorrhoeae .,Do nhiễm vi khuẩn Chlamydia trachomatis.,Do nhiễm vi khuẩn Streptococcus pneumoniae.
500,00200063,"Bệnh viêm ống dẫn trứng có thể được lây truyền qua đường quan hệ tình dục không an toàn, nhiễm các vi khuẩn như lậu cầu và chlamydia.",Multi-Choice,"['A', 'C']","Bệnh nhân Bích là một phụ nữ 45 tuổi, chị được các bác sĩ chuẩn đoán mình bị viêm ống dẫn trứng do nạo phá thai nhiều lần khiến cơ quan sinh dục bị viêm nhiễm. Chị muốn biết bệnh của mình có thể lây truyền từ mẹ sang con không, và nó có thể lây truyền qua những con đường nào?",Không lây truyền từ mẹ sang con nhưng lây truyền qua quan hệ tình dục không an toàn.,Có lây truyền từ mẹ sang con và có thể lây truyền qua quan hệ tình dục không an toàn.,Không lây truyền từ mẹ sang con nhưng lây truyền qua vi khuẩn lậu cầu.,Có lây truyền từ mẹ sang con và có thể lây truyền qua vi khuẩn chlamydia.
501,00200064,"Phụ nữ với một trong số các yếu tố nguy cơ sau đều có khả năng bị viêm ống dẫn trứng: Lớn hơn 25 tuổi và có quan hệ tình dục. Có nhiều bạn tình. Bạn tình của họ có nhiều bạn tình. Không sử dụng bao cao su khi quan hệ tình dục. Thụt rửa âm đạo thường xuyên, làm mất cân bằng hệ vi khuẩn có lợi – có hại bên trong âm đạo. Tiền sử mắc các bệnh lây truyền qua đường tình dục hoặc các bệnh viêm nhiễm vùng chậu. Nhiều chuyên gia đồng ý rằng việc đặt dụng cụ trong buồng tử cung chỉ có nguy cơ gây nhiễm trùng trong vòng 3 tuần đầu tiên sau đặt và không làm tăng nguy cơ viêm nhiễm vùng chậu nói chung, bao gồm cả viêm ống dẫn trứng.",Single-Choice,['B'],"Chị Bích năm nay 40 tuổi, có con gái đang đến tuổi dậy thì. Chị được biết, viêm nhiễm ống dẫn trứng có thể khiến cho phụ nữ bị vô sinh. Chị muốn biết độ tuổi nào có nguy cơ bị mắc bệnh này?",Phụ nữ dưới 25 tuổi.,Phụ nữ trên 25 tuổi.,Phụ nữ trung niên.,Phụ nữ tiền mãn kinh.
502,00200065,"Phụ nữ với một trong số các yếu tố nguy cơ sau đều có khả năng bị viêm ống dẫn trứng: Lớn hơn 25 tuổi và có quan hệ tình dục. Có nhiều bạn tình. Bạn tình của họ có nhiều bạn tình. Không sử dụng bao cao su khi quan hệ tình dục. Thụt rửa âm đạo thường xuyên, làm mất cân bằng hệ vi khuẩn có lợi – có hại bên trong âm đạo. Tiền sử mắc các bệnh lây truyền qua đường tình dục hoặc các bệnh viêm nhiễm vùng chậu. Nhiều chuyên gia đồng ý rằng việc đặt dụng cụ trong buồng tử cung chỉ có nguy cơ gây nhiễm trùng trong vòng 3 tuần đầu tiên sau đặt và không làm tăng nguy cơ viêm nhiễm vùng chậu nói chung, bao gồm cả viêm ống dẫn trứng.",Multi-Choice,"['A', 'B']","Chị Hà năm nay 40 tuổi, chị muốn hiểu rõ hơn về yếu tố làm tăng nguy cơ mắc viêm ống dẫn trứng. Yếu tố nào sau đây làm tăng nguy cơ mắc viêm ống dẫn trứng?",Quan hệ tình dục không an toàn.,Có nhiều bạn tình.,Hút thuốc lá.,Sử dụng thuốc tránh thai.
503,00200066,"Phụ nữ với một trong số các yếu tố nguy cơ sau đều có khả năng bị viêm ống dẫn trứng: Lớn hơn 25 tuổi và có quan hệ tình dục. Có nhiều bạn tình. Bạn tình của họ có nhiều bạn tình. Không sử dụng bao cao su khi quan hệ tình dục. Thụt rửa âm đạo thường xuyên, làm mất cân bằng hệ vi khuẩn có lợi – có hại bên trong âm đạo. Tiền sử mắc các bệnh lây truyền qua đường tình dục hoặc các bệnh viêm nhiễm vùng chậu. Nhiều chuyên gia đồng ý rằng việc đặt dụng cụ trong buồng tử cung chỉ có nguy cơ gây nhiễm trùng trong vòng 3 tuần đầu tiên sau đặt và không làm tăng nguy cơ viêm nhiễm vùng chậu nói chung, bao gồm cả viêm ống dẫn trứng.",Multi-Choice,"['A', 'B', 'C']","Chị Hương, 35 tuổi, gần đây chị có những dấu hiệu như kinh nguyệt không đều, đau bụng dưới, đau khi quan hệ tình dục. Chị được biết bệnh viêm ống dẫn trứng cũng có những biểu hiện như này. Vậy yếu tố nào có nguy cơ khiến chị Hương bị viêm buồng trứng?",Phụ nữ có nhiều đối tác tình dục.,Phụ nữ đã từng mắc bệnh lây truyền qua đường tình dục.,Phụ nữ có tiền sử viêm nhiễm âm đạo.,Phụ nữ trên 25 tuổi chưa quan hệ tình dục.
504,00200067,"Viêm ống dẫn trứng có thể được phòng ngừa bằng nhiều biện pháp đơn giản như: Thường xuyên vệ sinh sạch sẽ vùng kín, đặc biệt lưu ý trong những ngày hành kinh. Vệ sinh trước và sau quan hệ tình dục. Có đời sống lành mạnh, không quan hệ tình dục bừa bãi. Sử dụng các biện pháp tránh thai nếu chưa có ý định có thai. Việc mang thai ngoài ý muốn sẽ làm tăng tỷ lệ nạo phá thai không an toàn, gây nên những hậu quả nghiêm trọng cho sức khỏe sinh sản của nữ giới, trong đó bao gồm cả viêm nhiễm ống dẫn trứng nói riêng và viêm nhiễm vùng chậu nói chung. Khi có các biểu hiện bất thường như đau bụng dưới, đau lưng, khí hư âm đạo hôi, giao hợp đau, nhiễm trùng đường tiểu, rối loạn kinh nguyệt, nên đến khám bác sĩ kịp thời.",Single-Choice,['A'],"Chị Hà năm nay 35 tuổi, chị được biết viêm ống dẫn trứng không phải là tình trạng bệnh hiếm gặp hiện nay. Trong trường hợp bệnh được phát hiện sớm và có phác đồ điều trị hiệu quả, tích cực, khả năng chữa khỏi bệnh là rất cao và phụ nữ vẫn có thể sinh sản bình thường. Vậy cách phòng ngừa nào là không hiệu quả?",Vệ sinh trước khi quan hệ tình dục.,Đảm bảo vệ sinh cơ quan sinh dục.,Thực hiện quan hệ tình dục an toàn.,Sử dụng thuốc tránh thai đúng cách.
505,00200068,"Viêm ống dẫn trứng có thể được phòng ngừa bằng nhiều biện pháp đơn giản như: Thường xuyên vệ sinh sạch sẽ vùng kín, đặc biệt lưu ý trong những ngày hành kinh. Vệ sinh trước và sau quan hệ tình dục. Có đời sống lành mạnh, không quan hệ tình dục bừa bãi. Sử dụng các biện pháp tránh thai nếu chưa có ý định có thai. Việc mang thai ngoài ý muốn sẽ làm tăng tỷ lệ nạo phá thai không an toàn, gây nên những hậu quả nghiêm trọng cho sức khỏe sinh sản của nữ giới, trong đó bao gồm cả viêm nhiễm ống dẫn trứng nói riêng và viêm nhiễm vùng chậu nói chung. Khi có các biểu hiện bất thường như đau bụng dưới, đau lưng, khí hư âm đạo hôi, giao hợp đau, nhiễm trùng đường tiểu, rối loạn kinh nguyệt, nên đến khám bác sĩ kịp thời.",Multi-Choice,"['A', 'C', 'D']","Chị Bích, 35 tuổi, chị rất lo sợ về việc mình có thể bị mắc các bệnh phụ khoa. Chị được biết bệnh viên ống dẫn trứng nếu không được phát hiện và điều trị kịp thời có thể gây ra những biến chứng vô sinh hoặc khó có con. Hãy đưa ra những biện pháp phòng ngừa để chị Bích có thể tham khảo?",Quan hệ tình dục an toàn.,Chỉ vệ sinh vùng kín những ngày thường.,Sử dụng thuốc tránh thai đúng cách.,Ăn uống khoa học.
506,00200069,"Viêm ống dẫn trứng có thể được phòng ngừa bằng nhiều biện pháp đơn giản như: Thường xuyên vệ sinh sạch sẽ vùng kín, đặc biệt lưu ý trong những ngày hành kinh. Vệ sinh trước và sau quan hệ tình dục. Có đời sống lành mạnh, không quan hệ tình dục bừa bãi. Sử dụng các biện pháp tránh thai nếu chưa có ý định có thai. Việc mang thai ngoài ý muốn sẽ làm tăng tỷ lệ nạo phá thai không an toàn, gây nên những hậu quả nghiêm trọng cho sức khỏe sinh sản của nữ giới, trong đó bao gồm cả viêm nhiễm ống dẫn trứng nói riêng và viêm nhiễm vùng chậu nói chung. Khi có các biểu hiện bất thường như đau bụng dưới, đau lưng, khí hư âm đạo hôi, giao hợp đau, nhiễm trùng đường tiểu, rối loạn kinh nguyệt, nên đến khám bác sĩ kịp thời.",Multi-Choice,"['A', 'B']","Chị Hường 35 tuổi, gần đây chị xuất hiện những triệu chứng như kinh nguyệt không đều, đau bụng dưới, âm đạo có mùi khó chịu. Sau khi đến bệnh viện thăm khám, chị được chuẩn đoán có thể mắc bệnh viêm ống dẫn trứng. Chị được biết bệnh này có thể dẫn đến vô sinh nếu không chữa trị và phòng ngừa kịp thời. Chị cần phòng ngừa bệnh này như thế nào?",Đi khám phụ khoa định kỳ.,"Vệ sinh vùng kín sạch sẽ, đặc biệt trong kì kinh nguyệt.",Lối sống không lành mạnh.,Vệ sinh sau khi quan hệ tình dục.
507,00200070,"Chẩn đoán viêm ống dẫn trứng dựa vào triệu chứng, thăm khám vùng chậu và các xét nghiệm cận lâm sàng. Trong quá trình thăm khám vùng chậu, bác sĩ sẽ sử dụng tăm bông để lấy mẫu từ dịch âm đạo và cổ tử cung, sau đó đưa đi xét nghiệm để xác định vi khuẩn gây bệnh. Để xác nhận chẩn đoán viêm ống dẫn trứng và các biến chứng của nó, một số xét nghiệm cần thiết khác cần được thực hiện, bao gồm: Công thức máu: số lượng tế bào bạch cầu tăng khi có tình trạng viêm. Phân tích nước tiểu: xác định tình trạng nhiễm trùng đường tiểu nếu có. Siêu âm: cho hình ảnh các cơ quan sinh dục bên trong.",Single-Choice,['C'],Chị Hà có những biểu hiện bị mắc bệnh viêm ống dẫn trứng. Chị muốn tìm hiểu về quy trình xét nghiệm máu để chuẩn đoán viêm ống dẫn trứng. Xét nghiệm máu thường đo các chỉ số nào để chuẩn đoán viêm ống dẫn trứng?,Số lượng vi khuẩn.,Mức độ glucose trong máu.,Mức độ viêm (CRP).,Chỉ số Creatinin.
508,00200071,"Chẩn đoán viêm ống dẫn trứng dựa vào triệu chứng, thăm khám vùng chậu và các xét nghiệm cận lâm sàng. Trong quá trình thăm khám vùng chậu, bác sĩ sẽ sử dụng tăm bông để lấy mẫu từ dịch âm đạo và cổ tử cung, sau đó đưa đi xét nghiệm để xác định vi khuẩn gây bệnh. Để xác nhận chẩn đoán viêm ống dẫn trứng và các biến chứng của nó, một số xét nghiệm cần thiết khác cần được thực hiện, bao gồm: Công thức máu: số lượng tế bào bạch cầu tăng khi có tình trạng viêm. Phân tích nước tiểu: xác định tình trạng nhiễm trùng đường tiểu nếu có. Siêu âm: cho hình ảnh các cơ quan sinh dục bên trong.",Multi-Choice,"['A', 'C', 'D']","Chị Hương năm nay 45 tuổi, chị có tiền sử nạo phá thai nhiều lần, chị tìm hiểu được rằng mình có nguy cơ mắc bệnh viêm ống dẫn trứng. Biện pháp hiệu quả để chuẩn đoán chính xác được bệnh này là gì?",Thăm khám vùng chậu.,Xét nghiệm vi sinh .,Xét nghiệm nước tiểu.,Siêu âm ổ bụng.
509,00200072,"Chẩn đoán viêm ống dẫn trứng dựa vào triệu chứng, thăm khám vùng chậu và các xét nghiệm cận lâm sàng. Trong quá trình thăm khám vùng chậu, bác sĩ sẽ sử dụng tăm bông để lấy mẫu từ dịch âm đạo và cổ tử cung, sau đó đưa đi xét nghiệm để xác định vi khuẩn gây bệnh. Để xác nhận chẩn đoán viêm ống dẫn trứng và các biến chứng của nó, một số xét nghiệm cần thiết khác cần được thực hiện, bao gồm: Công thức máu: số lượng tế bào bạch cầu tăng khi có tình trạng viêm. Phân tích nước tiểu: xác định tình trạng nhiễm trùng đường tiểu nếu có. Siêu âm: cho hình ảnh các cơ quan sinh dục bên trong.",Multi-Choice,"['C', 'D']","Chị Bích năm nay 35 tuổi, chị vừa nhập viện vì mắc bệnh viêm ống dẫn trứng do tiểu sử nhiều lần phá thai. Chị được biết, sau khi thăm khám vùng chậu, chị sẽ được đưa đi xét nghiệm để xác định vi khuẩn gây bệnh. Hãy cho biết những xét nghiệm nào cần thiết để thực hiện việc chuẩn đoán bệnh?",Xét nghiệm vi sinh.,Xét nghiệm chức năng tuyến giáp.,Xét nghiệm máu.,Xét nghiệm nước tiểu.
510,00200073,"Bệnh viêm ống dẫn trứng đáp ứng tốt với việc điều trị nếu được phát hiện sớm. Trong trường hợp này, bệnh thường không gây ra biến chứng và người phụ nữ vẫn duy trì được chức năng sinh sản của mình. Điều trị viêm ống dẫn trứng chủ yếu là điều trị nội khoa với kháng sinh, kết hợp với điều trị nâng đỡ như nghỉ ngơi, nâng cao thể trạng và theo dõi diễn tiến của bệnh.",Single-Choice,['C'],"Chị Ánh, 45 tuổi, hiện đang nhập viện để điều trị bệnh viêm ống dẫn trứng. Chị muốn biết liệu phẫu thuật loại bỏ ống dẫn trứng viêm có phải là biện pháp điều trị tốt nhất cho mọi trường hợp không?","Có, nó là biện pháp điều trị duy nhất.","Không, chỉ cần sử dụng kháng sinh là đủ.","Có, nhưng chỉ nên thực hiện trong các trường hợp nghiêm trọng.","Không, điều trị nội tiết tố thường là lựa chọn tốt hơn."
511,00200074,"Bệnh viêm ống dẫn trứng đáp ứng tốt với việc điều trị nếu được phát hiện sớm. Trong trường hợp này, bệnh thường không gây ra biến chứng và người phụ nữ vẫn duy trì được chức năng sinh sản của mình. Điều trị viêm ống dẫn trứng chủ yếu là điều trị nội khoa với kháng sinh, kết hợp với điều trị nâng đỡ như nghỉ ngơi, nâng cao thể trạng và theo dõi diễn tiến của bệnh.",Multi-Choice,"['A', 'B', 'C']","Chị Bích năm nay 45 tuổi, chị rất quan tâm đến các bệnh liên quan tới các bệnh viêm nhiễm phụ khoa ở phụ nữ, trong đó có viêm ống dẫn trứng, chị được biết y học phát triển nên bệnh này cũng có nhiều phương pháp điều trị mới mang lại hiệu quả cao. Hãy cho biết các phương pháp dùng để điều trị bệnh này?",Sử dụng kháng sinh truyền qua tĩnh mạch.,Terapi bằng sóng siêu âm tập trung.,Điều trị bằng phương pháp YAG laser.,Thuốc giảm đau và kháng viêm.
512,00200075,"Bệnh viêm ống dẫn trứng đáp ứng tốt với việc điều trị nếu được phát hiện sớm. Trong trường hợp này, bệnh thường không gây ra biến chứng và người phụ nữ vẫn duy trì được chức năng sinh sản của mình. Điều trị viêm ống dẫn trứng chủ yếu là điều trị nội khoa với kháng sinh, kết hợp với điều trị nâng đỡ như nghỉ ngơi, nâng cao thể trạng và theo dõi diễn tiến của bệnh.",Multi-Choice,"['A', 'C']","Chị Hà năm nay 35 tuổi, chị muốn tìm hiểu về bệnh viêm ống dẫn trứng. Các biện pháp điều trị hiệu quả cho bệnh này là gì?",Kháng sinh .,Thuốc giảm đau.,Thuốc kháng viêm.,Điều trị bằng liệu pháp hormone.
513,00200076,"Bất kì ai cũng có thể mắc huyết khối tĩnh mạch sâu, tuy nhiên bệnh lý này phổ biến hơn ở lứa tuổi trên 40. Ngoài tuổi tác, có một số yếu tố nguy cơ khác gây nên huyết khối tĩnh mạch sâu: Có bất thường ở quá trình đông máu: một số người có bất thường trong quá trình đông máu làm máu dễ đông hơn khi kết hợp với những yếu tố nguy cơ khác. Nằm lâu, ngồi lâu: trong các trường hợp nằm viện lâu hoặc tình trạng liệt nửa người, khi lái xe hoặc trên những chuyến bay dài, phần chân bất động làm máu không tuần hoàn được, dẫn đến tăng nguy cơ huyết khối. Chấn thương hoặc phẫu thuật liên quan đến tĩnh mạch. Mang thai: khi phụ nữ mang thai, áp lực trong tĩnh mạch phần chân và phần chậu tăng lên. Những phụ nữ có bất thường trong quá trình đông máu có nguy cơ cao. Nguy cơ này có thể kéo dài đến 6 tuần sau khi sinh. Thuốc tránh thai đường uống và liệu pháp thay thế hormone: phụ nữ sử dụng các thuốc tránh thai đường uống hoặc liệu pháp thay thế hormone đều có nguy cơ xuất hiện huyết khối cao ơn. Thừa cân, béo phì. Hút thuốc lá: quá trình đông máu và tuần hoàn máu bị ảnh hưởng bởi việc hút thuốc lá, từ đó tăng nguy cơ huyết khối tĩnh mạch sâu. Bệnh ung thư: một số bệnh ung thư cũng như một số loại thuốc điều trị ung thư có thể làm tăng nguy cơ huyết khối. Bệnh suy tim: nguy cơ mắc huyết khối tĩnh mạch sâu sẽ tăng lên trên những bệnh nhân suy tim. Đồng thời do chức năng tim phổi bị hạn chế, triệu chứng huyết khối tĩnh mạch sâu trên những bệnh nhân này cũng nặng nề hơn. Viêm đường tiêu hóa dưới: các bệnh lý về ruột đều làm tăng nguy cơ huyết khối tĩnh mạch sâu. Tiền sử huyết khối tĩnh mạch sâu hoặc thuyên tắc động mạch phổi: một người có tiền sử hoặc có thành viên trong gia đình có tiền sử mắc huyết khối tĩnh mạch nói chung, đều có nguy cơ mắc huyết khối tĩnh mạch sâu cao hơn bình thường.",Single-Choice,['C'],"Anh Quý năm nay 37 tuổi, anh có tìm hiểu về bệnh huyết khối tĩnh mạch sâu và được biết rằng bệnh này là bệnh lý thường gặp và có nguy cơ tử vong khá cao. Anh rất lo lắng về việc mình cũng có thể là đối tượng mắc bệnh này. Hãy cho biết bệnh huyết khối tĩnh mạch sâu phổ biến ở độ tuổi nào?",Trên 20 tuổi.,Trên 30 tuổi.,Trên 40 tuổi.,Trên 50 tuổi.
514,00200077,"Bất kì ai cũng có thể mắc huyết khối tĩnh mạch sâu, tuy nhiên bệnh lý này phổ biến hơn ở lứa tuổi trên 40. Ngoài tuổi tác, có một số yếu tố nguy cơ khác gây nên huyết khối tĩnh mạch sâu: Có bất thường ở quá trình đông máu: một số người có bất thường trong quá trình đông máu làm máu dễ đông hơn khi kết hợp với những yếu tố nguy cơ khác. Nằm lâu, ngồi lâu: trong các trường hợp nằm viện lâu hoặc tình trạng liệt nửa người, khi lái xe hoặc trên những chuyến bay dài, phần chân bất động làm máu không tuần hoàn được, dẫn đến tăng nguy cơ huyết khối. Chấn thương hoặc phẫu thuật liên quan đến tĩnh mạch. Mang thai: khi phụ nữ mang thai, áp lực trong tĩnh mạch phần chân và phần chậu tăng lên. Những phụ nữ có bất thường trong quá trình đông máu có nguy cơ cao. Nguy cơ này có thể kéo dài đến 6 tuần sau khi sinh. Thuốc tránh thai đường uống và liệu pháp thay thế hormone: phụ nữ sử dụng các thuốc tránh thai đường uống hoặc liệu pháp thay thế hormone đều có nguy cơ xuất hiện huyết khối cao ơn. Thừa cân, béo phì. Hút thuốc lá: quá trình đông máu và tuần hoàn máu bị ảnh hưởng bởi việc hút thuốc lá, từ đó tăng nguy cơ huyết khối tĩnh mạch sâu. Bệnh ung thư: một số bệnh ung thư cũng như một số loại thuốc điều trị ung thư có thể làm tăng nguy cơ huyết khối. Bệnh suy tim: nguy cơ mắc huyết khối tĩnh mạch sâu sẽ tăng lên trên những bệnh nhân suy tim. Đồng thời do chức năng tim phổi bị hạn chế, triệu chứng huyết khối tĩnh mạch sâu trên những bệnh nhân này cũng nặng nề hơn. Viêm đường tiêu hóa dưới: các bệnh lý về ruột đều làm tăng nguy cơ huyết khối tĩnh mạch sâu. Tiền sử huyết khối tĩnh mạch sâu hoặc thuyên tắc động mạch phổi: một người có tiền sử hoặc có thành viên trong gia đình có tiền sử mắc huyết khối tĩnh mạch nói chung, đều có nguy cơ mắc huyết khối tĩnh mạch sâu cao hơn bình thường.",Multi-Choice,"['A', 'B', 'C']","Chị Bích năm nay 43 tuổi, chị được biết bệnh huyết khối tĩnh mạch sâu phổ biến ở người trên 40 tuổi. Ngoài tuổi tác thì đối tượng nào cũng có thể mắc bệnh huyết khối tĩnh mạch sâu?",Người hút thuốc lá.,Người có tiền sử bệnh tim mạch.,Phụ nữ mang thai.,Người làm việc trong môi trường độc hại.
515,00200078,"Bất kì ai cũng có thể mắc huyết khối tĩnh mạch sâu, tuy nhiên bệnh lý này phổ biến hơn ở lứa tuổi trên 40. Ngoài tuổi tác, có một số yếu tố nguy cơ khác gây nên huyết khối tĩnh mạch sâu: Có bất thường ở quá trình đông máu: một số người có bất thường trong quá trình đông máu làm máu dễ đông hơn khi kết hợp với những yếu tố nguy cơ khác. Nằm lâu, ngồi lâu: trong các trường hợp nằm viện lâu hoặc tình trạng liệt nửa người, khi lái xe hoặc trên những chuyến bay dài, phần chân bất động làm máu không tuần hoàn được, dẫn đến tăng nguy cơ huyết khối. Chấn thương hoặc phẫu thuật liên quan đến tĩnh mạch. Mang thai: khi phụ nữ mang thai, áp lực trong tĩnh mạch phần chân và phần chậu tăng lên. Những phụ nữ có bất thường trong quá trình đông máu có nguy cơ cao. Nguy cơ này có thể kéo dài đến 6 tuần sau khi sinh. Thuốc tránh thai đường uống và liệu pháp thay thế hormone: phụ nữ sử dụng các thuốc tránh thai đường uống hoặc liệu pháp thay thế hormone đều có nguy cơ xuất hiện huyết khối cao ơn. Thừa cân, béo phì. Hút thuốc lá: quá trình đông máu và tuần hoàn máu bị ảnh hưởng bởi việc hút thuốc lá, từ đó tăng nguy cơ huyết khối tĩnh mạch sâu. Bệnh ung thư: một số bệnh ung thư cũng như một số loại thuốc điều trị ung thư có thể làm tăng nguy cơ huyết khối. Bệnh suy tim: nguy cơ mắc huyết khối tĩnh mạch sâu sẽ tăng lên trên những bệnh nhân suy tim. Đồng thời do chức năng tim phổi bị hạn chế, triệu chứng huyết khối tĩnh mạch sâu trên những bệnh nhân này cũng nặng nề hơn. Viêm đường tiêu hóa dưới: các bệnh lý về ruột đều làm tăng nguy cơ huyết khối tĩnh mạch sâu. Tiền sử huyết khối tĩnh mạch sâu hoặc thuyên tắc động mạch phổi: một người có tiền sử hoặc có thành viên trong gia đình có tiền sử mắc huyết khối tĩnh mạch nói chung, đều có nguy cơ mắc huyết khối tĩnh mạch sâu cao hơn bình thường.",Multi-Choice,"['B', 'D']","Huyết khối tĩnh mạch sâu có thể gây ra nhiều vấn đề nghiêm trọng cho sức khỏe, trong một số trường hợp có thể gây tử vong. Anh Duy, 47 tuổi, anh làm việc văn phòng nên thường xuyên phải ngồi 1 chỗ lâu. Anh rất lo lắng về việc mình cũng có thể mắc bệnh này, vậy theo bạn ngồi lâu có tăng nguy cơ khiến anh Duy mắc bệnh này không? Và hãy cho biết những đối tượng nào cũng có thể mắc bệnh huyết khối tĩnh mạch sâu?","Ngồi lâu không liên quan đến bệnh huyết khối tĩnh mạch sâu, người hay hút thuốc lá và tiếp xúc với thuốc lá có nguy cơ mắc bệnh huyết khối tĩnh mạch sâu.","Ngồi lâu có liên quan đến bệnh huyết khối tĩnh mạch sâu, người bị béo , thừa cân có nguy cơ mắc bệnh huyết khối tĩnh mạch sâu.","Ngồi lâu không liên quan đến bệnh huyết khối tĩnh mạch sâu, phụ nữ mang thai có nguy cơ mắc bệnh huyết khối tĩnh mạch sâu.","Ngồi lâu có liên quan đến bệnh huyết khối tĩnh mạch sâu, người bị suy tim nguy cơ mắc bệnh huyết khối tĩnh mạch sâu."
516,00200079,"Khi một bệnh nhân nhập viện, dù là bất cứ nguyên nhân nào, các nhân viên y tế sẽ đánh giá nguy cơ huyết khối của họ. Nếu người đó có nguy cơ huyết khối, có một số biện pháp để ngăn ngừa như sau: Dừng hút thuốc. Thay đổi chế độ ăn, cân bằng dinh dưỡng. Tập thể dục thường xuyên. Duy trì cân nặng tối ưu, giảm cân nếu có béo phì. Tham vấn bác sĩ trước khi có những chuyến đi xa. Khi có những chuyến đi xa trên 6 tiếng bằng máy bay, tàu, ôtô, nên uống nhiều nước, thực hiện những bài tập chân đơn giản, thường xuyên đứng dậy đi lại.",Single-Choice,['A'],"Huyết khối tĩnh mạch sâu có thể xảy ra ở bệnh nhân ngoại trú hoặc một biến chứng của phẫu thuật hoặc bệnh nặng. Trong số bệnh nhân nhập viện có nguy cơ cao, hầu hết huyết khối xảy ra trong tĩnh mạch vùng cẳng chân, không có triệu chứng, và có thể không được phát hiện. Chị Bích năm nay 45 tuổi, chị đang mang thai nên rất lo lắng về việc mình có thể mắc bệnh này. Hãy cho biết cách phòng ngừa nào không hiệu quả cho người đang mang thai?",Bắt chéo chân khi đang ngồi.,Tập thể dục thường xuyên.,Uống nhiều nước để tránh mất nước.,Cân bằng chế độ dinh dưỡng phù hợp.
